symbol,date,recommendation,combined,intrinsicv_value,market_price,pe_ratio,rsi,macd_signal,bollinger_signal,trend_signal,fundamental_signal,risk_signal,dividiend_signal,score
ALLE,9/20/2024,SELL,SELL,0,140.39999389648438,22.47619,73.28545597465144,SELL,HOLD,downward,SELL,BUY,HOLD,-0.5
ALSN,9/20/2024,SELL,SELL,0,91.05999755859375,11.748701,80.78627978,BUY,HOLD,downward,SELL,BUY,HOLD,-0.5
ALLY,9/20/2024,BUY,BUY,0,34.47999954223633,14.911639,23.571435244366313,BUY,HOLD,downward,SELL,BUY,HOLD,0.5
ALTM,9/20/2024,HOLD,HOLD,0,2.509999990463257,7.4852943,68.93939832,BUY,HOLD,downward,SELL,BUY,HOLD,0
ALV,9/20/2024,SELL,SELL,0,92.84999847,12.550801,35.25035023946366,SELL,HOLD,downward,SELL,BUY,HOLD,-0.5
ALX,9/20/2024,SELL,SELL,0,244.00999450683594,24.401794,74.35421871401729,BUY,HOLD,downward,SELL,BUY,HOLD,-0.5
AM,9/20/2024,SELL,SELL,0,14.81000042,18.24375,70.06368962469591,SELL,HOLD,downward,SELL,BUY,HOLD,-0.5
AMBC,9/20/2024,SELL,SELL,0,11.369999885559082,7.1304345,74.14965677462214,BUY,HOLD,downward,SELL,BUY,HOLD,-0.5
AMCR,9/20/2024,SELL,SELL,0,10.899999618530273,21.539215,39.130394219904844,SELL,HOLD,downward,SELL,BUY,HOLD,-0.5
AME,9/20/2024,SELL,SELL,0,171.10000610351562,29.761326,85.67776707306939,BUY,HOLD,downward,SELL,BUY,HOLD,-0.5
AMH,9/20/2024,SELL,SELL,0,39.619998931884766,40.804123,58.34324172742569,SELL,HOLD,downward,SELL,BUY,HOLD,-0.5
AMG,9/20/2024,SELL,SELL,0,178.24000549316406,10.364007,86.43781084274448,BUY,HOLD,downward,SELL,BUY,HOLD,-0.5
AMN,9/20/2024,HOLD,HOLD,0,45.65999984741211,16.911654,49.81965328576372,BUY,HOLD,downward,SELL,BUY,HOLD,0
AMPS,9/20/2024,SELL,SELL,0,3.509999990463257,25.769232,74.11764805,BUY,HOLD,downward,SELL,BUY,HOLD,-0.5
AMP,9/20/2024,SELL,SELL,0,460.6099853515625,15.800822,82.19209702121732,BUY,HOLD,downward,SELL,BUY,HOLD,-0.5
AMPY,9/20/2024,HOLD,HOLD,0,6.650000095367432,10.075757,68.88888535676404,BUY,HOLD,downward,SELL,BUY,HOLD,0
AMR,9/20/2024,HOLD,HOLD,0,211.6699981689453,6.2222543,68.57424637,BUY,HOLD,downward,SELL,BUY,HOLD,0
AMRC,9/20/2024,SELL,SELL,0,36.06999969482422,33.719627,91.64347120619405,BUY,HOLD,downward,SELL,BUY,HOLD,-0.5
AMT,9/20/2024,SELL,SELL,0,235.05999755859375,43.763157,42.749691062426436,SELL,HOLD,downward,SELL,BUY,HOLD,-0.5
AMTB,9/20/2024,HOLD,HOLD,0,21.65999984741211,36.459015,61.87683218845734,BUY,HOLD,downward,SELL,BUY,HOLD,0
AMTD,9/20/2024,HOLD,HOLD,0,1.309999942779541,0.5945946,65.71427500977516,BUY,HOLD,downward,SELL,BUY,HOLD,0
AMX,9/20/2024,SELL,SELL,0,16.079999923706055,29.681818,46.12903642604749,SELL,HOLD,downward,SELL,BUY,HOLD,-0.5
AN,9/20/2024,HOLD,HOLD,0,174.38999938964844,9.552667,68.24017672858275,BUY,HOLD,downward,SELL,BUY,HOLD,0
ANET,9/20/2024,SELL,SELL,0,384.4599914550781,49.619484,99.01460673481539,BUY,HOLD,downward,SELL,BUY,HOLD,-0.5
ANF,9/20/2024,HOLD,HOLD,0,141.8000030517578,14.970838,63.818786782824425,BUY,HOLD,downward,SELL,BUY,HOLD,0
AOD,9/20/2024,SELL,SELL,0,9,13.361044,63.054895997296555,SELL,HOLD,downward,SELL,BUY,HOLD,-0.5
AOMR,9/20/2024,HOLD,HOLD,0,10.59000015258789,5.323232,63.09520700902694,BUY,HOLD,downward,SELL,BUY,HOLD,0
AOS,9/20/2024,SELL,SELL,0,82.88999938964844,21.418606,82.42947362149603,BUY,HOLD,downward,SELL,BUY,HOLD,-0.5
APAM,9/20/2024,SELL,SELL,0,42.689998626708984,12.716418,88.72179013,BUY,HOLD,downward,SELL,BUY,HOLD,-0.5
APD,9/20/2024,SELL,SELL,0,287.9800109863281,25.076456,80.62281133637013,BUY,HOLD,downward,SELL,BUY,HOLD,-0.5
APH,9/20/2024,SELL,SELL,0,65.91000366210938,39.068455,86.38099298597716,BUY,HOLD,downward,SELL,BUY,HOLD,-0.5
APO,9/20/2024,SELL,SELL,0,124.4800033569336,13.3315325,94.28423515818692,BUY,HOLD,downward,SELL,BUY,HOLD,-0.5
APLE,9/20/2024,SELL,SELL,0,15.350000381469727,17.66092,95.39016158377804,BUY,HOLD,downward,SELL,BUY,HOLD,-0.5
APTV,9/20/2024,HOLD,HOLD,0,69.83999633789062,5.3033957,53.47346589229027,BUY,HOLD,downward,SELL,BUY,HOLD,0
AQN,9/20/2024,SELL,SELL,0,5.519999980926514,33.96875,77.90693032416033,BUY,HOLD,downward,SELL,BUY,HOLD,-0.5
AR,9/20/2024,SELL,SELL,0,27.440000534057617,105.34615,89.27337261548371,BUY,HOLD,downward,SELL,BUY,HOLD,-0.5
ARCH,9/20/2024,HOLD,HOLD,0,128.27000427246094,9.286436,68.62744943657447,BUY,HOLD,downward,SELL,BUY,HOLD,0
ARC,9/20/2024,SELL,SELL,0,3.380000114440918,18.777777,79.99980926768328,SELL,HOLD,downward,SELL,BUY,HOLD,-0.5
ARCO,9/20/2024,HOLD,HOLD,0,8.350000381469727,10.209877,47.65627211889928,BUY,HOLD,downward,SELL,BUY,HOLD,0
ARDC,9/20/2024,SELL,SELL,0,15.109999656677246,6.5043106,29.577468572403347,SELL,HOLD,downward,SELL,BUY,HOLD,-0.5
ARDT,9/20/2024,SELL,SELL,0,18.280000686645508,30.51424,50.89287741654216,SELL,HOLD,downward,SELL,BUY,HOLD,-0.5
ARE,9/20/2024,SELL,SELL,0,121.25,148.99382,63.57465688447374,SELL,HOLD,downward,SELL,BUY,HOLD,-0.5
ARES,9/20/2024,SELL,SELL,0,156.66000366210938,80.51546,95.99661769776782,BUY,HOLD,downward,SELL,BUY,HOLD,-0.5
ARIS,9/20/2024,SELL,SELL,0,17.12999916,22.56,92.88536268087303,BUY,HOLD,downward,SELL,BUY,HOLD,-0.5
ARL,9/20/2024,SELL,SELL,0,17.149999618530273,74.83333,55.734401960001726,SELL,HOLD,downward,SELL,BUY,HOLD,-0.5
ARI,9/20/2024,SELL,SELL,0,9.649999618530273,194.59999,30.496458217928662,SELL,HOLD,downward,SELL,BUY,HOLD,-0.5
ARMK,9/20/2024,SELL,SELL,0,37.75,20.966852,51.02040589355304,SELL,HOLD,downward,SELL,BUY,HOLD,-0.5
AROC,9/20/2024,SELL,SELL,0,20.899999618530273,23.651686,94.44445621820643,BUY,HOLD,downward,SELL,BUY,HOLD,-0.5
ARW,9/20/2024,HOLD,HOLD,0,131.63999938964844,12.392285,67.31471808,BUY,HOLD,downward,SELL,BUY,HOLD,0
ASA,9/20/2024,SELL,SELL,0,20.600000381469727,6.3446155,86.52169730583216,BUY,HOLD,downward,SELL,BUY,HOLD,-0.5
ASAI,9/20/2024,HOLD,HOLD,0,7.079999923706055,15.800001,20.540557677407776,SELL,BUY,downward,SELL,BUY,HOLD,0
ASB,9/20/2024,HOLD,HOLD,0,21.690000534057617,18.811966,54.60318691,BUY,HOLD,downward,SELL,BUY,HOLD,0
ASC,9/20/2024,HOLD,HOLD,0,17.489999771118164,5.0099998,58.09524761036291,BUY,HOLD,downward,SELL,BUY,HOLD,0
ASG,9/20/2024,SELL,SELL,0,5.5,9.322034,77.77777777777777,BUY,HOLD,downward,SELL,BUY,HOLD,-0.5
ASGI,9/20/2024,SELL,SELL,0,19.760000228881836,15.061069,51.03450725253447,SELL,HOLD,downward,SELL,BUY,HOLD,-0.5
ASGN,9/20/2024,HOLD,HOLD,0,93.25,22.758495,62.97464801654319,BUY,HOLD,downward,SELL,BUY,HOLD,0
ASH,9/20/2024,HOLD,HOLD,0,87.31999969482422,25.5731,68.77396063987607,BUY,HOLD,downward,SELL,BUY,HOLD,0
ASIX,9/20/2024,HOLD,HOLD,0,28.34000015258789,84.69118,59.285724990224836,BUY,HOLD,downward,SELL,BUY,HOLD,0
ASR,9/20/2024,SELL,SELL,0,290.5799865722656,15.423241,92.22190871592298,BUY,HOLD,downward,SELL,BUY,HOLD,-0.5
ASX,9/20/2024,SELL,SELL,0,9.880000114440918,19.67,73.84104977,BUY,HOLD,downward,SELL,BUY,HOLD,-0.5
ATEN,9/20/2024,SELL,SELL,0,14.020000457763672,24.728071,83.58777986874243,BUY,HOLD,downward,SELL,BUY,HOLD,-0.5
ATGE,9/20/2024,SELL,SELL,0,75.30000305175781,21.921053,91.98728921319301,BUY,HOLD,downward,SELL,BUY,HOLD,-0.5
ATHM,9/20/2024,HOLD,HOLD,0,28.110000610351562,12.871559,62.844066396721466,BUY,HOLD,downward,SELL,BUY,HOLD,0
ATKR,9/20/2024,HOLD,HOLD,0,87.01999664,6.202314,67.09181935724958,BUY,HOLD,downward,SELL,BUY,HOLD,0
ATI,9/20/2024,SELL,SELL,0,63.84000015258789,24.060375,80.23558242264131,BUY,HOLD,downward,SELL,BUY,HOLD,-0.5
ATMU,9/20/2024,SELL,SELL,0,37.150001525878906,17.937502,90.11768127233283,BUY,HOLD,downward,SELL,BUY,HOLD,-0.5
ATO,9/20/2024,SELL,SELL,0,136.55999755859375,20.18316,64.05293654234316,SELL,HOLD,downward,SELL,BUY,HOLD,-0.5
ATR,9/20/2024,SELL,SELL,0,155.91000366210938,32.678947,71.07483728,BUY,HOLD,downward,SELL,BUY,HOLD,-0.5
ATS,9/20/2024,SELL,SELL,0,28.729999542236328,21.007408,77.62860833,BUY,HOLD,downward,SELL,BUY,HOLD,-0.5
AU,9/20/2024,SELL,SELL,0,28.030000686645508,102.85185,41.82591945,SELL,HOLD,downward,SELL,BUY,HOLD,-0.5
AUB,9/20/2024,HOLD,HOLD,0,38.61000061035156,17.352678,62.99021922365263,BUY,HOLD,downward,SELL,BUY,HOLD,0
AVA,9/20/2024,SELL,SELL,0,38.310001373291016,15.4375,50.44121392452072,SELL,HOLD,downward,SELL,BUY,HOLD,-0.5
AVAL,9/20/2024,HOLD,HOLD,0,2.049999952316284,22.944445,58.33332671059397,BUY,HOLD,downward,SELL,BUY,HOLD,0
AVB,9/20/2024,SELL,SELL,0,230.05999755859375,38.835594,64.20135935201755,SELL,HOLD,downward,SELL,BUY,HOLD,-0.5
AVK,9/20/2024,SELL,SELL,0,11.81000042,10.843394,25.086606823843468,SELL,HOLD,downward,SELL,BUY,HOLD,-0.5
AVNT,9/20/2024,SELL,SELL,0,48.099998474121094,38.301586,83.81954881,BUY,HOLD,downward,SELL,BUY,HOLD,-0.5
AVNS,9/20/2024,SELL,SELL,0,24.139999389648438,161.59999,55.15693264589056,SELL,HOLD,downward,SELL,BUY,HOLD,-0.5
AVTR,9/20/2024,SELL,SELL,0,26.989999771118164,52.182693,64.40677574722523,SELL,HOLD,downward,SELL,BUY,HOLD,-0.5
AVY,9/20/2024,SELL,SELL,0,211.5800018310547,27.341465,34.790867465461744,SELL,HOLD,downward,SELL,BUY,HOLD,-0.5
AWF,9/20/2024,SELL,SELL,0,11.210000038146973,7.6671233,60.526329,SELL,HOLD,downward,SELL,BUY,HOLD,-0.5
AWI,9/20/2024,SELL,SELL,0,131.3000030517578,24.170021,91.49104960477227,BUY,HOLD,downward,SELL,BUY,HOLD,-0.5
AWK,9/20/2024,SELL,SELL,0,147.22999572753906,30.046938,64.64823926007753,SELL,HOLD,downward,SELL,BUY,HOLD,-0.5
AXP,9/20/2024,SELL,SELL,0,268.9899902,20.1868,73.20236006,BUY,HOLD,downward,SELL,BUY,HOLD,-0.5
AX,9/20/2024,HOLD,HOLD,0,66.22000122070312,8.7689295,66.00791512,BUY,HOLD,downward,SELL,BUY,HOLD,0
AWR,9/20/2024,HOLD,HOLD,0,84.41999816894531,29.53147,65.98271275171435,BUY,HOLD,downward,SELL,BUY,HOLD,0
AXR,9/20/2024,SELL,SELL,0,29.959999084472656,16.244432,91.75879608907223,BUY,HOLD,downward,SELL,BUY,HOLD,-0.5
AXL,9/20/2024,HOLD,HOLD,0,6.099999904632568,614,59.54198167635507,BUY,HOLD,downward,SELL,BUY,HOLD,0
AZEK,9/20/2024,SELL,SELL,0,46.50999832,41.070175,93.79963575429971,BUY,HOLD,downward,SELL,BUY,HOLD,-0.5
AXS,9/20/2024,SELL,SELL,0,77.91000366210938,10.762035,57.44385378571054,SELL,HOLD,downward,SELL,BUY,HOLD,-0.5
AXTA,9/20/2024,HOLD,HOLD,0,36.06999969482422,26.785185,66.07540246762792,BUY,HOLD,downward,SELL,BUY,HOLD,0
AYI,9/20/2024,SELL,SELL,0,272.2300109863281,22.084623,87.53171876471255,BUY,HOLD,downward,SELL,BUY,HOLD,-0.5
AZZ,9/20/2024,SELL,SELL,0,81.87999725341797,74.77273,86.17806486680061,BUY,HOLD,downward,SELL,BUY,HOLD,-0.5
AZO,9/20/2024,SELL,SELL,0,3020.659912109375,20.954847,18.912726515309302,SELL,HOLD,downward,SELL,BUY,HOLD,-0.5
BABA,9/20/2024,SELL,SELL,0,88.29000091552734,22.351898,80.00002575325038,BUY,HOLD,downward,SELL,BUY,HOLD,-0.5
BAC,9/20/2024,HOLD,HOLD,0,40.27000045776367,14.168457,60.989013868118214,BUY,HOLD,downward,SELL,BUY,HOLD,0
BALL,9/20/2024,SELL,SELL,0,66.30999755859375,30.25114,69.64974595932084,SELL,HOLD,downward,SELL,BUY,HOLD,-0.5
BAH,9/20/2024,SELL,SELL,0,157.88999938964844,33.868534,70.49064331555427,BUY,HOLD,downward,SELL,BUY,HOLD,-0.5
BAM,9/20/2024,SELL,SELL,0,46.849998474121094,43.266052,86.57184766285077,BUY,HOLD,downward,SELL,BUY,HOLD,-0.5
BAP,9/20/2024,SELL,SELL,0,179.39999389648438,11.207971,71.49117768113388,BUY,HOLD,downward,SELL,BUY,HOLD,-0.5
BBAR,9/20/2024,SELL,SELL,0,11.850000381469727,18.2,70.89944500257593,SELL,HOLD,downward,SELL,BUY,HOLD,-0.5
BBD,9/20/2024,HOLD,HOLD,0,2.630000114440918,12.619048,13.793103448275858,SELL,BUY,downward,SELL,BUY,HOLD,0
BBDC,9/20/2024,SELL,SELL,0,9.869999885559082,9.306604,65.62497516470765,SELL,HOLD,downward,SELL,BUY,HOLD,-0.5
BBU,9/20/2024,SELL,SELL,0,22.399999618530273,3.4,96.62160986614413,BUY,HOLD,downward,SELL,BUY,HOLD,-0.5
BBDO,9/20/2024,SELL,SELL,0,2.390000104904175,11.350476,26.092914863055867,SELL,HOLD,downward,SELL,BUY,HOLD,-0.5
BBN,9/20/2024,SELL,SELL,0,17.969999313354492,28.071562,46.58399989098886,SELL,HOLD,downward,SELL,BUY,HOLD,-0.5
BBVA,9/20/2024,SELL,SELL,0,10.859999656677246,6.5262876,83.72092679403517,BUY,HOLD,downward,SELL,BUY,HOLD,-0.5
BC,9/20/2024,SELL,SELL,0,82.94000244140625,16.094233,79.44979543866494,BUY,HOLD,downward,SELL,BUY,HOLD,-0.5
BBW,9/20/2024,SELL,SELL,0,32.720001220703125,9.368645,61.71032407284953,SELL,HOLD,downward,SELL,BUY,HOLD,-0.5
BBWI,9/20/2024,HOLD,HOLD,0,29.280000686645508,7.055825,66.73074616485854,BUY,HOLD,downward,SELL,BUY,HOLD,0
BBY,9/20/2024,SELL,SELL,0,97.30000305175781,16.825562,50.683330702715764,SELL,HOLD,downward,SELL,BUY,HOLD,-0.5
BCAT,9/20/2024,SELL,SELL,0,16.40999984741211,8.408215,64.92680434707017,SELL,HOLD,downward,SELL,BUY,HOLD,-0.5
BCC,9/20/2024,SELL,SELL,0,137.5,12.466841,74.50493927645407,BUY,HOLD,downward,SELL,BUY,HOLD,-0.5
BCE,9/20/2024,SELL,SELL,0,35.040000915527344,22.075949,45.809869258283335,SELL,HOLD,downward,SELL,BUY,HOLD,-0.5
BCH,9/20/2024,SELL,SELL,0,24.399999618530273,8.236486,50,SELL,HOLD,downward,SELL,BUY,HOLD,-0.5
BCO,9/20/2024,SELL,SELL,0,112.93000030517578,38.016834,95.69427894016304,BUY,HOLD,downward,SELL,BUY,HOLD,-0.5
BCS,9/20/2024,HOLD,HOLD,0,12.220000267028809,9.033333,68.85964105,BUY,HOLD,downward,SELL,BUY,HOLD,0
BCSF,9/20/2024,SELL,SELL,0,16.989999771118164,8.505,59.09085391968677,SELL,HOLD,downward,SELL,BUY,HOLD,-0.5
BDC,9/20/2024,SELL,SELL,0,112.43000030517578,23.74947,97.03904446,BUY,HOLD,downward,SELL,BUY,HOLD,-0.5
BCX,9/20/2024,HOLD,HOLD,0,9.199999809265137,19.595745,68.94552251869264,BUY,HOLD,downward,SELL,BUY,HOLD,0
BDJ,9/20/2024,SELL,SELL,0,8.520000457763672,8.252427,72.42922192464795,BUY,HOLD,downward,SELL,BUY,HOLD,-0.5
BDX,9/20/2024,SELL,SELL,0,233.5,46.746,36.77097486965996,SELL,HOLD,downward,SELL,BUY,HOLD,-0.5
BEKE,9/20/2024,HOLD,HOLD,0,14.369999885559082,28.92,48.06200900889134,BUY,HOLD,downward,SELL,BUY,HOLD,0
BEN,9/20/2024,SELL,SELL,0,20.809999465942383,12.829193,82.98433475901973,BUY,HOLD,downward,SELL,BUY,HOLD,-0.5
BEPC,9/20/2024,SELL,SELL,0,30.37000084,7.3510895,92.32875151803985,BUY,HOLD,downward,SELL,BUY,HOLD,-0.5
BERY,9/20/2024,SELL,SELL,0,66.58999633789062,14.549019,51.76647345191859,SELL,HOLD,downward,SELL,BUY,HOLD,-0.5
BFAM,9/20/2024,SELL,SELL,0,139.05999755859375,80.31503,50.74628777699333,SELL,HOLD,downward,SELL,BUY,HOLD,-0.5
BFAC,9/20/2024,SELL,SELL,0,11.069999694824219,25.88372,39.13041675,SELL,BUY,downward,SELL,BUY,HOLD,-0.5
BFH,9/20/2024,HOLD,HOLD,0,52.470001220703125,5.3875256,44.86448438055658,BUY,HOLD,downward,SELL,BUY,HOLD,0
BFK,9/20/2024,SELL,SELL,0,10.65999984741211,70.909996,70.12623995505594,SELL,HOLD,downward,SELL,BUY,HOLD,-0.5
BFS,9/20/2024,SELL,SELL,0,40.09000015258789,22.601124,50.43729897815284,SELL,HOLD,downward,SELL,BUY,HOLD,-0.5
BFZ,9/20/2024,SELL,SELL,0,12.069999694824219,40.23333,74.81858897645358,SELL,HOLD,downward,SELL,BUY,HOLD,-0.5
BG,9/20/2024,HOLD,HOLD,0,98.80000305175781,11.176136,49.40713846302305,BUY,HOLD,downward,SELL,BUY,HOLD,0
BGB,9/20/2024,SELL,SELL,0,12.40999984741211,8.101308,52.99997901912502,SELL,HOLD,downward,SELL,BUY,HOLD,-0.5
BGH,9/20/2024,SELL,SELL,0,15.050000190734863,6.076613,47.91670391982722,SELL,HOLD,downward,SELL,BUY,HOLD,-0.5
